,id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,lat,lon,county,basement,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_gym,community_outdoor_space,community_park,community_security_features,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,efficient,elevator,ensuite,family_room,farm,fenced_yard,fireplace,first_floor_master_bedroom,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hoa,investment_opportunity,lake,laundry_room,master_bathroom,master_bedroom,master_suite,medicalcare,modern_kitchen,new_construction,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,private_bathroom,private_parking,ranch,recreation_facilities,rental_property,shopping,single_story,solar_panels,solar_system,spa_or_hot_tub,swimming_pool,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,washer_dryer,water_view,white_kitchen
0,5952747420,450000,5.0,2,,,single_family,8925.0,,,91 Ridge Rd,07065,NJ,Rahway,"['central_air', 'fireplace', 'swimming_pool', 'two_or_more_stories', 'master_bedroom', 'park', 'shopping']",40.593873,-74.293131,Union,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,5730040889,599000,6.0,5,2.0,2.0,single_family,13068.0,,1958.0,610 Harris Dr,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'den_or_office', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'master_bathroom', 'farm', 'ranch', 'new_roof', 'lake']",40.605074,-74.292573,Union,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,9904490045,459999,3.0,3,2.0,2.0,single_family,8712.0,,1955.0,460 Grove St,07065,NJ,Rahway,"['central_air', 'dishwasher', 'family_room', 'forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'ensuite', 'views', 'shopping']",40.600886,-74.293799,Union,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
3,6177078061,489000,3.0,1,1.0,,single_family,8712.0,1300.0,1952.0,952 Crescent Dr,07065,NJ,Rahway,"['community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'hardwood_floors', 'spa_or_hot_tub', 'washer_dryer', 'basement', 'garage_1_or_more', 'farm', 'ranch', 'lake']",40.607555,-74.298071,Union,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,9984276351,399900,6.0,2,3.0,3.0,multi_family,4356.0,,1920.0,1304-8 Maple Ter,07065,NJ,Rahway,"['community_outdoor_space', 'dining_room', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'shopping']",40.608841,-74.282776,Union,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5418292907,359900,3.0,2,,,townhomes,3358.0,,,96 W Cherry St,07065,NJ,Rahway,"['community_outdoor_space', 'basement', 'fenced_yard', 'clubhouse', 'shopping']",40.606704,-74.278705,Union,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6453931822,405000,5.0,2,1.0,,single_family,4356.0,,1930.0,2213 Church St,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'forced_air', 'hardwood_floors', 'basement', 'garage_1_or_more', 'updated_kitchen']",40.620488,-74.275239,Union,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,5439087303,399999,3.0,2,1.0,,single_family,4356.0,,1950.0,947 Inwood Pl,07065,NJ,Rahway,"['central_air', 'corner_lot', 'dishwasher', 'hardwood_floors', 'basement', 'garage_1_or_more', 'fenced_yard', 'shopping']",40.608801,-74.292199,Union,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6982469609,399000,3.0,2,,,single_family,1638.0,1194.0,1920.0,1637 Essex St,07065,NJ,Rahway,"['community_outdoor_space', 'family_room', 'fireplace', 'basement', 'groundscare']",40.607527,-74.271211,Union,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6786600519,399999,3.0,3,1.0,,single_family,4356.0,,1945.0,434 W Inman Ave,07065,NJ,Rahway,"['central_air', 'den_or_office', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'basement', 'garage_1_or_more', 'views', 'shopping']",40.599996,-74.294214,Union,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
